Questions,Category
How do I check my bank account balance online?,qanda_dataset
What is the tallest building in the world?,qanda_dataset
How do I reset my email password?,qanda_dataset
What is the boiling point of water?,qanda_dataset
How do I find my local polling station?,qanda_dataset
What is the most popular programming language?,qanda_dataset
How do I calculate the area of a triangle?,qanda_dataset
What’s the best way to learn how to swim?,qanda_dataset
How do I book a train ticket online?,qanda_dataset
What is the name of the longest river in the world?,qanda_dataset
How do I write a formal email?,qanda_dataset
What’s the difference between climate and weather?,qanda_dataset
How do I cook rice perfectly?,qanda_dataset
What is the meaning of photosynthesis?,qanda_dataset
How do I create a PowerPoint presentation?,qanda_dataset
What is the difference between an asteroid and a comet?,qanda_dataset
How do I renew my driver’s license?,qanda_dataset
What is the population of China?,qanda_dataset
How do I set up a new phone?,qanda_dataset
What’s the best way to start a garden?,qanda_dataset
How do I improve my chess skills?,qanda_dataset
What is the chemical symbol for gold?,qanda_dataset
How do I book a hotel online?,qanda_dataset
What is the name of the first human to walk on the moon?,qanda_dataset
How do I register to vote?,qanda_dataset
What’s the best way to clean windows without streaks?,qanda_dataset
How do I create a LinkedIn profile?,qanda_dataset
What is the process for adopting a pet?,qanda_dataset
How do I learn to play the guitar?,qanda_dataset
What is the largest mammal in the world?,qanda_dataset
How do I uninstall an app on my phone?,qanda_dataset
What’s the best way to prepare for a job interview?,qanda_dataset
How do I apply for a passport?,qanda_dataset
What is the capital city of Germany?,qanda_dataset
How do I fix a slow internet connection?,qanda_dataset
What’s the difference between renewable and non-renewable energy?,qanda_dataset
How do I make homemade pasta?,qanda_dataset
What is the name of the first president of the United States?,qanda_dataset
How do I create a password manager?,qanda_dataset
How do I check the weather forecast online?,qanda_dataset
What is the average lifespan of a dog?,qanda_dataset
How do I troubleshoot my computer when it won’t turn on?,qanda_dataset
What is the formula for calculating speed?,qanda_dataset
How do I find the nearest hospital?,qanda_dataset
What is the largest continent in the world?,qanda_dataset
How do I register a new email account?,qanda_dataset
What is the purpose of a firewall?,qanda_dataset
How do I bake cookies without them sticking?,qanda_dataset
How do I reduce my screen time?,qanda_dataset
What is the primary function of the heart?,qanda_dataset
How do I organize a closet effectively?,qanda_dataset
What’s the best way to write a cover letter?,qanda_dataset
How do I delete my browsing history?,qanda_dataset
What’s the difference between a crocodile and an alligator?,qanda_dataset
How do I sew a button back onto a shirt?,qanda_dataset
What’s the best way to prepare for a marathon?,qanda_dataset
How do I install software on my computer?,qanda_dataset
What is the freezing point of water?,qanda_dataset
How do I use a map to navigate?,qanda_dataset
What’s the difference between aerobic and anaerobic exercise?,qanda_dataset
How do I clean my kitchen appliances?,qanda_dataset
What is the largest species of fish?,qanda_dataset
How do I plan a road trip?,qanda_dataset
What’s the best way to improve vocabulary?,qanda_dataset
How do I repair a broken zipper?,qanda_dataset
What is the purpose of a greenhouse?,qanda_dataset
How do I set reminders on my phone?,qanda_dataset
What’s the best way to build a sandcastle?,qanda_dataset
How do I learn basic first aid?,qanda_dataset
What is the capital of Italy?,qanda_dataset
How do I organize a study schedule?,qanda_dataset
What’s the difference between a debit card and a credit card?,qanda_dataset
How do I fix a squeaky door?,qanda_dataset
What is the lifespan of a butterfly?,qanda_dataset
What’s the fastest way to get to the airport?,qanda_dataset
How do I troubleshoot a Wi-Fi connection issue?,qanda_dataset
What is the difference between a hybrid and an electric car?,qanda_dataset
How do I clean my smartphone screen safely?,qanda_dataset
How do I update the software on my laptop?,qanda_dataset
What’s the best way to brew tea?,qanda_dataset
How do I transfer photos from my phone to my computer?,qanda_dataset
What is the smallest planet in the solar system?,qanda_dataset
How do I replace the batteries in a TV remote?,qanda_dataset
What’s the purpose of a router in a home network?,qanda_dataset
How do I check the tire pressure on my car?,qanda_dataset
What’s the best way to store fresh vegetables?,qanda_dataset
How do I find nearby restaurants with good reviews?,qanda_dataset
What is the longest-lasting type of battery?,qanda_dataset
How do I fix a dripping faucet?,qanda_dataset
What’s the difference between savings and investments?,qanda_dataset
How do I recycle used batteries?,qanda_dataset
What is the average lifespan of a cat?,qanda_dataset
How do I take a screenshot on my phone?,qanda_dataset
What’s the best way to fold a fitted sheet?,qanda_dataset
How do I backup my files to the cloud?,qanda_dataset
What’s the safest way to dispose of expired medicine?,qanda_dataset
How do I find a nearby ATM?,qanda_dataset
What’s the best way to defrost meat quickly?,qanda_dataset
How do I calculate the interest on a loan?,qanda_dataset
How do I reset my router to factory settings?,qanda_dataset
What’s the difference between an LCD and OLED display?,qanda_dataset
How do I set up parental controls on a device?,qanda_dataset
What’s the best way to clean a coffee maker?,qanda_dataset
How do I pack a suitcase efficiently?,qanda_dataset
How do I find directions using Google Maps?,qanda_dataset
What’s the process for renewing a library card?,qanda_dataset
How do I replace the ink in a printer?,qanda_dataset
How do I connect my phone to Bluetooth headphones?,qanda_dataset
How do I calculate a 20% tip at a restaurant?,qanda_dataset
What’s the best way to clean leather shoes?,qanda_dataset
How do I find free e-books online?,qanda_dataset
What’s the difference between a microwave and a convection oven?,qanda_dataset
How do I fix a loose doorknob?,qanda_dataset
How do I set up a Wi-Fi extender?,qanda_dataset
What is the deepest ocean trench in the world?,qanda_dataset
How do I fix a jammed paper shredder?,qanda_dataset
What’s the best way to keep houseplants healthy?,qanda_dataset
How do I disinfect a cutting board?,qanda_dataset
What’s the easiest way to open a stuck jar lid?,qanda_dataset
How do I measure the dimensions of a room?,qanda_dataset
What’s the best way to wash delicate fabrics?,qanda_dataset
How do I reset a forgotten password?,qanda_dataset
What’s the purpose of a surge protector?,qanda_dataset
How do I change the settings on my thermostat?,qanda_dataset
How do I set up a Google account?,qanda_dataset
How do I block spam calls on my phone?,qanda_dataset
What’s the difference between hard water and soft water?,qanda_dataset
How do I remove stains from a white shirt?,qanda_dataset
How do I organize my desktop for better productivity?,qanda_dataset
How do I test the smoke alarms in my home?,qanda_dataset
What’s the best way to hang a picture frame?,qanda_dataset
How do I iron clothes without leaving marks?,qanda_dataset
What’s the process for composting at home?,qanda_dataset
How do I set up automatic bill payments?,qanda_dataset
How do I calculate square footage for a room?,qanda_dataset
How do I find my car’s VIN number?,qanda_dataset
What’s the best way to care for wooden furniture?,qanda_dataset
How do I troubleshoot a frozen computer screen?,qanda_dataset
How do I learn the basics of photography?,qanda_dataset
How do I replace a burnt-out light bulb?,qanda_dataset
How do I fix uneven heating in my oven?,qanda_dataset
What’s the best way to prevent identity theft?,qanda_dataset
How do I create a shopping list using my phone?,qanda_dataset
What’s the best way to cook pasta al dente?,qanda_dataset
How do I reset my smartwatch to factory settings?,qanda_dataset
How do I organize books on a shelf?,qanda_dataset
What’s the difference between digital and analog signals?,qanda_dataset
How do I charge my electric vehicle at a public station?,qanda_dataset
What’s the best way to clean eyeglasses?,qanda_dataset
How do I unclog a toilet without a plunger?,qanda_dataset
How do I find nearby dog-friendly parks?,qanda_dataset
What’s the purpose of a car’s alternator?,qanda_dataset
How do I improve my typing speed?,qanda_dataset
How do I connect a laptop to a projector?,qanda_dataset
What’s the easiest way to clean a blender?,qanda_dataset
How do I safely dispose of old paint cans?,qanda_dataset
What’s the best way to clean a stainless steel sink?,qanda_dataset
How do I reset my smartwatch?,qanda_dataset
What is the national flower of Japan?,qanda_dataset
How do I schedule a doctor’s appointment online?,qanda_dataset
What’s the best way to remove rust from metal?,qanda_dataset
How do I childproof my home?,qanda_dataset
What is the longest river in the United States?,qanda_dataset
How do I clean my refrigerator effectively?,qanda_dataset
What’s the best way to start a new hobby?,qanda_dataset
How do I sign up for a gym membership?,qanda_dataset
What is the largest island in the world?,qanda_dataset
How do I unsubscribe from unwanted emails?,qanda_dataset
What’s the best way to store seasonal clothes?,qanda_dataset
How do I apply for a loan online?,qanda_dataset
What is the difference between frogs and toads?,qanda_dataset
How do I stop hiccups quickly?,qanda_dataset
How do I create a custom ringtone on my phone?,qanda_dataset
What’s the best way to learn about local events?,qanda_dataset
How do I find the nearest gas station?,qanda_dataset
How do I check if my flight is delayed?,qanda_dataset
What is the difference between meteors and meteorites?,qanda_dataset
How do I register for a new library card?,qanda_dataset
What’s the best way to organize my pantry?,qanda_dataset
How do I upgrade my computer’s RAM?,qanda_dataset
What is the purpose of a car’s air filter?,qanda_dataset
How do I book an Uber or Lyft ride?,qanda_dataset
What’s the best way to clean a microwave?,qanda_dataset
How do I build a birdhouse?,qanda_dataset
How do I create an online payment account?,qanda_dataset
What is the national sport of Canada?,qanda_dataset
How do I get rid of ants in my house?,qanda_dataset
What’s the best way to prepare for an exam?,qanda_dataset
How do I send money internationally?,qanda_dataset
How do I find reliable childcare?,qanda_dataset
What’s the purpose of a thermostat in a house?,qanda_dataset
How do I write a review for a business online?,qanda_dataset
What’s the difference between a laptop and a Chromebook?,qanda_dataset
How do I clean hardwood floors without damaging them?,qanda_dataset
How do I install a new app on my tablet?,qanda_dataset
How do I find nearby tourist attractions?,qanda_dataset
What’s the easiest way to peel garlic?,qanda_dataset
How do I troubleshoot a smartphone that won’t charge?,qanda_dataset
What’s the best way to make scrambled eggs?,qanda_dataset
How do I report a lost credit card?,qanda_dataset
What’s the purpose of an antivirus program?,qanda_dataset
How do I fix a broken drawer handle?,qanda_dataset
How do I connect a smart TV to Wi-Fi?,qanda_dataset
What is the process for renewing a passport?,qanda_dataset
How do I calculate a monthly budget?,qanda_dataset
What’s the best way to store leftover food?,qanda_dataset
How do I find the emergency number in another country?,qanda_dataset
How do I set up a family calendar?,qanda_dataset
What’s the difference between a hurricane and a tornado?,qanda_dataset
How do I fix a wobbly table?,qanda_dataset
What’s the best way to organize cables?,qanda_dataset
How do I set a reminder on my smartwatch?,qanda_dataset
What is the purpose of a savings account?,qanda_dataset
How do I clean a laptop keyboard?,qanda_dataset
How do I find a reputable moving company?,qanda_dataset
What’s the best way to plant a tree?,qanda_dataset
How do I install a ceiling fan?,qanda_dataset
How do I choose the right sunscreen?,qanda_dataset
How do I make an omelet without breaking it?,qanda_dataset
What’s the difference between a road bike and a mountain bike?,qanda_dataset
How do I check the weather for the weekend?,qanda_dataset
What’s the best way to clean a grill?,qanda_dataset
How do I set up a savings goal?,qanda_dataset
How do I calculate my carbon footprint?,qanda_dataset
What’s the process for changing a legal name?,qanda_dataset
How do I register for an online class?,qanda_dataset
What’s the best way to keep my car clean?,qanda_dataset
How do I upgrade my phone plan?,qanda_dataset
How do I create a DIY gift?,qanda_dataset
What’s the difference between a debit card and a prepaid card?,qanda_dataset
How do I unsubscribe from magazine subscriptions?,qanda_dataset
What’s the best way to roast vegetables?,qanda_dataset
How do I find free public Wi-Fi?,qanda_dataset
What’s the purpose of a home security system?,qanda_dataset
How do I learn about my family history?,qanda_dataset
How do I write a formal thank-you note?,qanda_dataset
What’s the best way to freeze fresh fruit?,qanda_dataset
How do I choose the right mattress?,qanda_dataset
How do I plan a day trip with friends?,qanda_dataset
How do I defrag my computer’s hard drive?,qanda_dataset
What’s the difference between Wi-Fi and mobile data?,qanda_dataset
How do I clean pet hair off furniture?,qanda_dataset
What’s the process for renting an apartment?,qanda_dataset
How do I make homemade ice cream?,qanda_dataset
How do I find nearby hiking trails?,qanda_dataset
What’s the best way to wrap a gift?,qanda_dataset
How do I set up a Bluetooth device on my laptop?,qanda_dataset
What’s the difference between USB 2.0 and USB 3.0?,qanda_dataset
How do I fix a leaking shower head?,qanda_dataset
How do I create a workout plan at home?,qanda_dataset
What’s the purpose of a VPN?,qanda_dataset
What is the meaning of artificial intelligence?,qanda_dataset
How do I reset my car’s clock?,qanda_dataset
How do I find the nearest pharmacy?,qanda_dataset
How do I fix a loose power outlet?,qanda_dataset
What’s the best way to organize digital photos?,qanda_dataset
How do I schedule a meeting using Outlook?,qanda_dataset
What’s the difference between a comet and an asteroid?,qanda_dataset
How do I create a shared folder on Google Drive?,qanda_dataset
How do I fix a tear in my jeans?,qanda_dataset
What’s the best way to clean reusable water bottles?,qanda_dataset
How do I install a home security camera?,qanda_dataset
What is the tallest tree species in the world?,qanda_dataset
How do I reset my smart home devices?,qanda_dataset
What’s the best way to pack fragile items for shipping?,qanda_dataset
How do I calculate the square root of a number?,qanda_dataset
What’s the process for getting a driver’s license?,qanda_dataset
How do I install a new browser on my computer?,qanda_dataset
How do I create an emergency preparedness kit?,qanda_dataset
What is the largest animal in the ocean?,qanda_dataset
How do I register for a voting card?,qanda_dataset
What’s the best way to declutter my workspace?,qanda_dataset
How do I replace a car battery?,qanda_dataset
How do I troubleshoot a printer that won’t print?,qanda_dataset
What’s the best way to clean stainless steel appliances?,qanda_dataset
How do I book tickets for a concert online?,qanda_dataset
What is the difference between altitude and latitude?,qanda_dataset
How do I unsubscribe from an online service?,qanda_dataset
What’s the best way to remove stickers from glass?,qanda_dataset
How do I backup my photos to the cloud?,qanda_dataset
How do I start a vegetable garden at home?,qanda_dataset
What’s the best way to frost a cake?,qanda_dataset
How do I find public transport routes?,qanda_dataset
What’s the difference between a volcano and a mountain?,qanda_dataset
How do I set up an online banking account?,qanda_dataset
What’s the purpose of a smoke detector?,qanda_dataset
How do I connect my laptop to a printer?,qanda_dataset
What’s the best way to store flour and sugar?,qanda_dataset
How do I create a travel itinerary?,qanda_dataset
How do I replace a broken phone screen?,qanda_dataset
What’s the safest way to remove mold from walls?,qanda_dataset
How do I choose the right pair of running shoes?,qanda_dataset
How do I set up a wireless keyboard?,qanda_dataset
What is the purpose of the ozone layer?,qanda_dataset
How do I make homemade pizza dough?,qanda_dataset
What’s the difference between a debit card and a credit card?,qanda_dataset
How do I fix a stuck zipper?,qanda_dataset
How do I set a sleep timer on my TV?,qanda_dataset
What’s the best way to clean a cast iron skillet?,qanda_dataset
How do I delete a file permanently on my computer?,qanda_dataset
How do I reset my internet router?,qanda_dataset
What’s the process for transferring ownership of a car?,qanda_dataset
How do I create a digital photo album?,qanda_dataset
How do I apply for health insurance?,qanda_dataset
How do I find the best deals for online shopping?,qanda_dataset
What’s the purpose of antivirus software?,qanda_dataset
How do I organize a group trip?,qanda_dataset
How do I learn a new skill online?,qanda_dataset
How do I create a monthly spending tracker?,qanda_dataset
How do I find free local events?,qanda_dataset
What’s the best way to prepare vegetables for freezing?,qanda_dataset
How do I update my smartphone’s operating system?,qanda_dataset
How do I defrost frozen bread quickly?,qanda_dataset
How do I replace the windshield wipers on my car?,qanda_dataset
How do I install a dimmer switch?,qanda_dataset
What’s the difference between hardcover and paperback books?,qanda_dataset
How do I locate the nearest gas station?,qanda_dataset
What’s the best way to organize spices in the kitchen?,qanda_dataset
How do I set up a meeting link in Zoom?,qanda_dataset
How do I troubleshoot a slow computer?,qanda_dataset
How do I remove scratches from wooden furniture?,qanda_dataset
What’s the process for sending a package overseas?,qanda_dataset
How do I find a nearby community center?,qanda_dataset
What’s the best way to stay hydrated during exercise?,qanda_dataset
How do I clean an electric kettle?,qanda_dataset
How do I register a new car?,qanda_dataset
How do I set up a fitness tracker?,qanda_dataset
How do I dispose of old electronics safely?,qanda_dataset
How do I fix a wobbly chair?,qanda_dataset
What’s the easiest way to fold a fitted sheet?,qanda_dataset
How do I plan a surprise birthday party?,qanda_dataset
What’s the purpose of a surge protector?,qanda_dataset
How do I clean a pair of sneakers?,qanda_dataset
How do I create a budget for a vacation?,qanda_dataset
What’s the best way to prevent spam emails?,qanda_dataset
How do I make homemade lemonade?,qanda_dataset
How do I choose the right backpack for hiking?,qanda_dataset
What’s the difference between baking and roasting?,qanda_dataset
How do I learn sign language?,qanda_dataset
How do I plan a picnic?,qanda_dataset
How do I set up parental controls on a smartphone?,qanda_dataset
What’s the process for opening a bank account?,qanda_dataset
How do I repair a hole in drywall?,qanda_dataset
How do I delete my browsing history on Chrome?,qanda_dataset
What’s the process for applying for a visa?,qanda_dataset
How do I create a new account on Facebook?,qanda_dataset
What’s the best way to clean carpets at home?,qanda_dataset
How do I fix a flat tire on a bicycle?,qanda_dataset
What’s the difference between weather and climate?,qanda_dataset
How do I make homemade candles?,qanda_dataset
How do I set up an Amazon account?,qanda_dataset
What’s the best way to fold a T-shirt?,qanda_dataset
How do I register a domain name for a website?,qanda_dataset
What’s the purpose of a smoke alarm?,qanda_dataset
How do I calculate my BMI?,qanda_dataset
What’s the best way to store bread to keep it fresh?,qanda_dataset
How do I troubleshoot a leaky faucet?,qanda_dataset
How do I update my resume for a job application?,qanda_dataset
What’s the best way to clean a leather couch?,qanda_dataset
How do I sign up for online banking?,qanda_dataset
What’s the process for filing a tax return?,qanda_dataset
How do I learn basic coding skills?,qanda_dataset
How do I create a to-do list in Google Keep?,qanda_dataset
What’s the difference between a tornado watch and a warning?,qanda_dataset
How do I set up a smart speaker in my home?,qanda_dataset
What’s the best way to clean a dishwasher?,qanda_dataset
How do I replace a light switch?,qanda_dataset
What’s the best way to plan a wedding?,qanda_dataset
How do I find nearby recycling centers?,qanda_dataset
What’s the process for renewing a gym membership?,qanda_dataset
How do I bake cookies without parchment paper?,qanda_dataset
What’s the best way to clean silver jewelry?,qanda_dataset
How do I fix a broken zipper on a jacket?,qanda_dataset
How do I cancel a subscription on my phone?,qanda_dataset
How do I prepare for a hiking trip?,qanda_dataset
What’s the best way to store leftovers?,qanda_dataset
How do I set up a savings account for a child?,qanda_dataset
What’s the process for learning to drive?,qanda_dataset
How do I install a new shower head?,qanda_dataset
What’s the difference between a passport and a visa?,qanda_dataset
How do I find the nearest public library?,qanda_dataset
What’s the best way to stay organized at work?,qanda_dataset
How do I create a budget for a home renovation?,qanda_dataset
How do I write a professional email?,qanda_dataset
How do I calculate the cost of a road trip?,qanda_dataset
How do I replace a toilet seat?,qanda_dataset
What’s the purpose of a firewall in computer security?,qanda_dataset
How do I transfer money using a mobile banking app?,qanda_dataset
How do I clean the filter in a vacuum cleaner?,qanda_dataset
What’s the best way to wash wool sweaters?,qanda_dataset
How do I reset the password on my laptop?,qanda_dataset
What’s the difference between rechargeable and disposable batteries?,qanda_dataset
How do I make homemade jam?,qanda_dataset
What’s the process for renting a car?,qanda_dataset
How do I troubleshoot a slow internet connection?,qanda_dataset
What’s the best way to remove wrinkles from clothes?,qanda_dataset
How do I create a playlist on Apple Music?,qanda_dataset
How do I find the best airline deals?,qanda_dataset
What’s the process for applying for a business license?,qanda_dataset
How do I declutter my garage?,qanda_dataset
What’s the best way to fold a fitted sheet?,qanda_dataset
How do I clean the inside of my oven?,qanda_dataset
What’s the process for setting up a home office?,qanda_dataset
How do I improve my handwriting?,qanda_dataset
What’s the difference between a fixed and adjustable mortgage?,qanda_dataset
How do I set up a new email account?,qanda_dataset
How do I cook rice without it sticking?,qanda_dataset
What’s the best way to prevent dry skin in winter?,qanda_dataset
How do I organize a neighborhood cleanup event?,qanda_dataset
How do I repair a small crack in a window?,qanda_dataset
What’s the purpose of a credit report?,qanda_dataset
How do I bake a cake without an oven?,qanda_dataset
How do I find the best local restaurants?,qanda_dataset
What’s the difference between a hedge fund and a mutual fund?,qanda_dataset
How do I fix a squeaky door hinge?,qanda_dataset
What’s the best way to store fresh herbs?,qanda_dataset
How do I recycle old electronics?,qanda_dataset
What’s the process for setting up a small business?,qanda_dataset
How do I learn the basics of photography?,qanda_dataset
How do I create a strong password?,qanda_dataset
What’s the purpose of a car’s alternator?,qanda_dataset
How do I change the oil in my car?,qanda_dataset
How do I learn the basics of sewing?,qanda_dataset
What’s the best way to preserve family photos?,qanda_dataset
How do I fix a broken smartphone screen?,qanda_dataset
How do I troubleshoot a dishwasher that won’t start?,qanda_dataset
How do I create a family budget?,qanda_dataset
What’s the best way to clean a fish tank?,qanda_dataset
How do I set up a group chat on WhatsApp?,qanda_dataset
How do I prepare a first aid kit for emergencies?,qanda_dataset
What’s the best way to keep a house cool in summer?,qanda_dataset
How do I reset my phone to factory settings?,qanda_dataset
What’s the process for renting a storage unit?,qanda_dataset
How do I choose the right pair of running shoes?,qanda_dataset
How do I fix a jammed door lock?,qanda_dataset
How do I clean a barbecue grill?,qanda_dataset
How do I build a basic website?,qanda_dataset
How do I prepare for a long road trip?,qanda_dataset
How do I repair a leaky roof?,qanda_dataset
How do I install antivirus software?,qanda_dataset
How do I set up a home workout routine?,qanda_dataset
How do I plan a trip to a national park?,qanda_dataset
How do I troubleshoot a car that won’t start?,qanda_dataset
What’s the best way to clean tile grout?,qanda_dataset
How do I compost food scraps at home?,qanda_dataset
How do I write a formal resignation letter?,qanda_dataset
Who is Barack Obama?,qanda_dataset
Who is the CEO of Tesla?,qanda_dataset
Who wrote the book '1984'?,qanda_dataset
Who invented the telephone?,qanda_dataset
Who painted the Mona Lisa?,qanda_dataset
Who is the current Secretary-General of the United Nations?,qanda_dataset
Who is the founder of Microsoft?,qanda_dataset
Who directed the movie 'Inception'?,qanda_dataset
Who discovered penicillin?,qanda_dataset
Who is the author of 'Pride and Prejudice'?,qanda_dataset
Who was the first president of the United States?,qanda_dataset
Who built the Great Wall of China?,qanda_dataset
Who is the richest person in the world?,qanda_dataset
Who discovered gravity?,qanda_dataset
Who is the main character in 'Harry Potter'?,qanda_dataset
Who won the Nobel Peace Prize in 2021?,qanda_dataset
Who is the Prime Minister of Canada?,qanda_dataset
Who is the founder of Amazon?,qanda_dataset
Who is the current president of the United States?,qanda_dataset
Who was the first person to walk on the moon?,qanda_dataset
Who invented the light bulb?,qanda_dataset
Who is the most followed person on Instagram?,qanda_dataset
Who hosts the Olympics?,qanda_dataset
Who developed the theory of relativity?,qanda_dataset
Who is known as the 'Father of Computers'?,qanda_dataset
Who is the lead singer of the band Queen?,qanda_dataset
Who is the creator of Facebook?,qanda_dataset
Who designed the Eiffel Tower?,qanda_dataset
Who was the first woman to win a Nobel Prize?,qanda_dataset
Who starred in the movie 'Titanic'?,qanda_dataset
Who is the author of 'To Kill a Mockingbird'?,qanda_dataset
Who invented the World Wide Web?,qanda_dataset
Who is the current Queen of England?,qanda_dataset
Who won the FIFA World Cup in 2018?,qanda_dataset
Who discovered electricity?,qanda_dataset
Who is the president of France?,qanda_dataset
Who is the founder of SpaceX?,qanda_dataset
Who played Iron Man in the Marvel movies?,qanda_dataset
Who painted 'The Starry Night'?,qanda_dataset
Who created the character Sherlock Holmes?,qanda_dataset
Who is the main antagonist in 'The Avengers'?,qanda_dataset
Who invented the airplane?,qanda_dataset
Who built the Taj Mahal?,qanda_dataset
Who won the first Academy Award for Best Picture?,qanda_dataset
Who is the CEO of Apple?,qanda_dataset
Who founded the first university in the world?,qanda_dataset
Who wrote the play 'Hamlet'?,qanda_dataset
Who is the current Chancellor of Germany?,qanda_dataset
Who developed the COVID-19 vaccines?,qanda_dataset
Who is the first female astronaut in space?,qanda_dataset
Who holds the record for the most Olympic gold medals?,qanda_dataset
Who discovered the structure of DNA?,qanda_dataset
Who is the protagonist in 'The Great Gatsby'?,qanda_dataset
Who designed the Sydney Opera House?,qanda_dataset
Who is the author of 'The Catcher in the Rye'?,qanda_dataset
Who is the captain of the Indian cricket team?,qanda_dataset
Who won the 2022 Nobel Prize in Literature?,qanda_dataset
Who created the first programmable computer?,qanda_dataset
Who discovered the planet Neptune?,qanda_dataset
Who built the Pyramids of Giza?,qanda_dataset
Who invented the microwave oven?,qanda_dataset
Who was the first African-American president of the United States?,qanda_dataset
Who was the first man in space?,qanda_dataset
Who is the author of 'The Lord of the Rings'?,qanda_dataset
Who is the founder of Netflix?,qanda_dataset
Who painted the ceiling of the Sistine Chapel?,qanda_dataset
Who is the current Pope?,qanda_dataset
Who directed the movie 'Avatar'?,qanda_dataset
Who is the main character in 'The Hunger Games'?,qanda_dataset
Who is the head of the World Health Organization?,qanda_dataset
Who discovered radioactivity?,qanda_dataset
Who was the first human to circumnavigate the globe?,qanda_dataset
Who is the leader of North Korea?,qanda_dataset
Who created the character James Bond?,qanda_dataset
Who is the main character in 'Game of Thrones'?,qanda_dataset
Who invented the refrigerator?,qanda_dataset
Who is the president of the World Bank?,qanda_dataset
Who discovered the polio vaccine?,qanda_dataset
Who is the most successful Formula 1 driver in history?,qanda_dataset
Who created the character of Mickey Mouse?,qanda_dataset
Who wrote the book 'The Alchemist'?,qanda_dataset
Who is the head of the United States Supreme Court?,qanda_dataset
Who is Barack Obama?,qanda_dataset
Who is the current CEO of Google?,qanda_dataset
Who invented the light bulb?,qanda_dataset
Who is the author of 'The Great Gatsby'?,qanda_dataset
Who painted the Mona Lisa?,qanda_dataset
Who is the founder of Facebook?,qanda_dataset
Who is the richest person in the world?,qanda_dataset
Who was the first man to step on the moon?,qanda_dataset
Who discovered penicillin?,qanda_dataset
Who directed the movie 'The Godfather'?,qanda_dataset
Who is the president of Russia?,qanda_dataset
Who discovered gravity?,qanda_dataset
Who is the main character in 'Sherlock Holmes'?,qanda_dataset
Who won the FIFA World Cup in 2022?,qanda_dataset
Who is the current Secretary-General of the United Nations?,qanda_dataset
Who wrote 'To Kill a Mockingbird'?,qanda_dataset
Who is the Prime Minister of the United Kingdom?,qanda_dataset
Who was the first female Prime Minister of the UK?,qanda_dataset
Who founded Tesla?,qanda_dataset
Who created the theory of relativity?,qanda_dataset
Who is the current Pope?,qanda_dataset
Who is the lead singer of Coldplay?,qanda_dataset
Who invented the airplane?,qanda_dataset
Who is the captain of the Indian cricket team?,qanda_dataset
Who won the Nobel Peace Prize in 2021?,qanda_dataset
Who is the Queen of England?,qanda_dataset
Who designed the Eiffel Tower?,qanda_dataset
Who created the character of James Bond?,qanda_dataset
Who discovered the structure of DNA?,qanda_dataset
Who is the protagonist in 'The Hunger Games'?,qanda_dataset
